Geneid    	WD_NOnub_Rep1  	WD_NOnub_Rep2  	WD_NOnub_Rep3  	WD_SUMOnub_Rep1	WD_SUMOnub_Rep2	WD_SUMOnub_Rep3
FBgn0024995	0              	0              	18             	3              	4              	5              
FBgn0024994	998            	957            	902            	1001           	1093           	1002           
FBgn0024992	1085           	1215           	1200           	1353           	1276           	1218           
FBgn0000092	19             	13             	10             	47             	27             	51             
FBgn0025838	1              	2              	0              	4              	1              	2              
FBgn0011276	0              	0              	0              	0              	2              	2              
FBgn0004647	27601          	28609          	28543          	26834          	22454          	21544          
FBgn0040396	1011           	1041           	1065           	730            	697            	713            
FBgn0000479	429            	500            	628            	514            	573            	637            
FBgn0002933	0              	0              	0              	0              	0              	0              
FBgn0003374	59             	25             	18736          	62             	3              	15             
FBgn0029660	1              	0              	0              	0              	0              	1              
FBgn0029662	1418           	1399           	1511           	1104           	1397           	1300           
FBgn0029661	0              	0              	1              	1              	4              	4              
FBgn0029659	2              	4              	2              	3              	1              	1              
FBgn0029658	0              	0              	0              	1              	0              	0              
FBgn0052493	0              	0              	0              	0              	0              	0              
FBgn0029657	9              	5              	4              	7              	14             	7              
FBgn0029656	0              	2              	0              	0              	0              	1              
FBgn0003086	0              	0              	128            	1              	0              	1              
FBgn0010296	0              	0              	0              	0              	0              	0              
FBgn0010295	0              	0              	16             	10             	0              	1              
FBgn0010294	0              	0              	0              	1              	0              	0              
FBgn0040393	0              	0              	9              	3              	0              	5              
FBgn0000644	98             	80             	64             	54             	51             	54             
FBgn0028746	86             	97             	112            	99             	85             	102            
FBgn0040355	0              	0              	1              	0              	0              	0              
FBgn0052793	5              	5              	11             	4              	1              	1              
FBgn0029642	0              	0              	0              	0              	0              	0              
FBgn0025645	0              	0              	0              	0              	0              	0              
FBgn0029643	0              	0              	0              	1              	0              	0              
FBgn0029644	0              	0              	0              	1              	0              	0              
FBgn0029645	0              	0              	0              	1              	0              	0              
FBgn0029646	0              	0              	0              	0              	0              	0              
FBgn0029647	0              	0              	0              	0              	0              	0              
FBgn0029648	333            	371            	327            	489            	423            	434            
FBgn0028369	411            	413            	353            	287            	350            	337            
FBgn0029649	0              	0              	0              	0              	0              	0              
FBgn0003285	1647           	1641           	1771           	1469           	1718           	1622           
FBgn0025644	2              	6              	1              	1              	2              	2              
FBgn0029639	3              	0              	0              	4              	0              	0              
FBgn0040354	0              	0              	0              	0              	0              	0              
FBgn0040353	4              	3              	0              	5              	4              	7              
FBgn0040352	1              	2              	0              	0              	1              	1              
FBgn0029664	397            	414            	384            	340            	339            	358            
FBgn0029666	2781           	2778           	2842           	2156           	2306           	2415           
FBgn0029669	0              	0              	0              	0              	0              	0              
FBgn0052792	1              	2              	3              	4              	6              	7              
FBgn0044046	0              	0              	0              	1              	0              	1              
FBgn0023215	2011           	1520           	1508           	1194           	1270           	1328           
FBgn0015286	1902           	1866           	1655           	1660           	1467           	1570           
FBgn0023216	885            	881            	869            	784            	903            	839            
FBgn0029672	1201           	1290           	1172           	1131           	1151           	1255           
FBgn0052791	97             	116            	108            	234            	172            	193            
FBgn0029667	1              	0              	3              	7              	2              	5              
FBgn0029665	421            	450            	433            	388            	367            	389            
FBgn0029663	0              	3              	2              	2              	4              	6              
FBgn0052785	0              	0              	0              	0              	0              	0              
FBgn0025118	2              	3              	4              	1              	0              	4              
FBgn0028491	87             	89             	272            	44             	49             	45             
FBgn0029681	6              	9              	5              	10             	20             	28             
FBgn0029686	694            	705            	593            	518            	511            	489            
FBgn0052786	18             	15             	14             	26             	23             	37             
FBgn0052783	55             	65             	54             	67             	51             	47             
FBgn0029687	9830           	9714           	9218           	9672           	7560           	8707           
FBgn0029690	102            	106            	139            	76             	108            	128            
FBgn0029689	198            	218            	221            	214            	254            	260            
FBgn0029688	4437           	4393           	4506           	4413           	4175           	3898           
FBgn0029685	1016           	1130           	1165           	1298           	1281           	1206           
FBgn0019661	18440          	19835          	18717          	22820          	21116          	21215          
FBgn0029694	0              	1              	1              	0              	1              	1              
FBgn0000221	210            	194            	183            	206            	200            	191            
FBgn0026084	18390          	17259          	15213          	16000          	17521          	17994          
FBgn0026085	298            	271            	263            	282            	247            	238            
FBgn0026083	6923           	7232           	6972           	6685           	5739           	5887           
FBgn0066114	517            	495            	499            	503            	572            	432            
FBgn0029697	0              	0              	0              	1              	0              	0              
FBgn0029701	0              	0              	0              	0              	0              	0              
FBgn0029702	1              	1              	1              	2              	1              	0              
FBgn0029706	2293           	2668           	2595           	2389           	2103           	2039           
FBgn0029707	23             	25             	15             	35             	62             	64             
FBgn0029705	1              	0              	0              	1              	3              	0              
FBgn0040907	183            	162            	228            	171            	150            	157            
FBgn0002707	708            	839            	819            	837            	825            	841            
FBgn0040906	9              	11             	11             	25             	32             	27             
FBgn0029703	0              	0              	0              	0              	1              	0              
FBgn0040905	0              	0              	0              	0              	0              	1              
FBgn0040904	0              	2              	0              	0              	2              	2              
FBgn0029700	0              	0              	1              	0              	1              	0              
FBgn0052774	0              	0              	0              	1              	1              	2              
FBgn0041252	0              	0              	0              	0              	0              	0              
FBgn0029696	0              	0              	0              	0              	0              	0              
FBgn0000635	7548           	7769           	7094           	8379           	9542           	9314           
FBgn0026080	692            	710            	709            	723            	714            	695            
FBgn0026079	1608           	1748           	1486           	1544           	1333           	1331           
FBgn0004832	714            	701            	671            	831            	666            	664            
FBgn0029693	1364           	1446           	1363           	1485           	1309           	1295           
FBgn0000179	4324           	4653           	4238           	2849           	2576           	2671           
FBgn0029708	73             	70             	52             	69             	72             	66             
FBgn0029709	2040           	1973           	1903           	2293           	2002           	1895           
FBgn0029710	383            	405            	348            	182            	245            	187            
FBgn0029712	41             	27             	35             	30             	33             	22             
FBgn0029714	535            	613            	521            	513            	479            	493            
FBgn0029716	1              	1              	0              	2              	8              	14             
FBgn0022768	2698           	2617           	2619           	2620           	2469           	2384           
FBgn0029715	2524           	2432           	2163           	2262           	1820           	1839           
FBgn0029713	739            	800            	861            	871            	964            	904            
FBgn0029711	620            	701            	625            	420            	465            	472            
FBgn0003210	2996           	3040           	2937           	2830           	2582           	2573           
FBgn0052773	47             	61             	49             	25             	18             	13             
FBgn0011760	15749          	15318          	12988          	15045          	13601          	15269          
FBgn0028325	2286           	2379           	2198           	2708           	2332           	2461           
FBgn0029722	1              	4              	0              	7              	14             	8              
FBgn0029727	0              	0              	0              	0              	0              	0              
FBgn0029729	0              	0              	0              	0              	0              	0              
FBgn0029730	0              	0              	0              	1              	1              	0              
FBgn0029733	0              	0              	0              	0              	0              	1              
FBgn0052772	1727           	1665           	1614           	1476           	1728           	1509           
FBgn0029737	962            	951            	1045           	945            	1010           	951            
FBgn0004368	3033           	3441           	3352           	2988           	3442           	2985           
FBgn0029740	0              	0              	0              	0              	0              	0              
FBgn0061196	2              	4              	4              	0              	2              	3              
FBgn0029728	6              	8              	6              	6              	0              	3              
FBgn0029726	1              	0              	0              	1              	0              	1              
FBgn0029725	0              	1              	0              	2              	1              	1              
FBgn0025679	0              	0              	1              	1              	1              	0              
FBgn0029724	0              	0              	0              	0              	0              	0              
FBgn0029745	0              	1              	0              	1              	0              	0              
FBgn0029746	0              	0              	0              	0              	0              	0              
FBgn0003449	1640           	1550           	1550           	1585           	1343           	1451           
FBgn0011761	0              	0              	0              	0              	0              	0              
FBgn0029753	0              	1              	0              	1              	5              	2              
FBgn0029755	1073           	1230           	1074           	1236           	1010           	1098           
FBgn0014024	2964           	3006           	2742           	2730           	2562           	2526           
FBgn0029754	1              	8              	3              	4              	3              	3              
FBgn0029752	3              	5              	2              	9              	6              	3              
FBgn0029751	25             	28             	25             	40             	28             	32             
FBgn0029750	42             	65             	59             	95             	85             	86             
FBgn0029747	0              	1              	0              	1              	2              	1              
FBgn0052767	3501           	3546           	3539           	3549           	3351           	3365           
FBgn0026751	1409           	1536           	1272           	1052           	1212           	1269           
FBgn0010014	0              	4              	1              	2              	0              	1              
FBgn0029761	78             	83             	89             	210            	269            	247            
FBgn0029763	2830           	2980           	2736           	2613           	2463           	2323           
FBgn0029765	1              	0              	0              	0              	4              	1              
FBgn0029766	921            	927            	1384           	5646           	6021           	7991           
FBgn0029768	0              	1              	0              	2              	0              	0              
