FBgn0054006 lncRNA:CR34006
FBgn0261503 lncRNA:CR42651
FBgn0261522 lncRNA:CR42657
FBgn0261638 lncRNA:CR42721
FBgn0262741 lncRNA:CR43126
FBgn0262897 lncRNA:CR43252
FBgn0262992 lncRNA:CR43300
FBgn0262994 lncRNA:CR43302
FBgn0263019 lncRNA:CR43314
FBgn0263379 lncRNA:CR43431
FBgn0263388 lncRNA:CR43440
FBgn0263407 lncRNA:CR43453
FBgn0263509 lncRNA:CR43498
FBgn0263587 lncRNA:CR43612
FBgn0263595 lncRNA:CR43617
FBgn0263650 lncRNA:CR43641
FBgn0263651 lncRNA:CR43642
FBgn0263658 lncRNA:CR43649
FBgn0263764 lncRNA:CR43681
FBgn0263970 lncRNA:CR43724
FBgn0264371 lncRNA:CR43823
FBgn0264431 lncRNA:CR43849
FBgn0264568 lncRNA:CR43940
FBgn0264601 lncRNA:CR43950
FBgn0264786 lncRNA:CR44016
FBgn0264887 lncRNA:CR44078
FBgn0264982 lncRNA:CR44133
FBgn0265066 lncRNA:CR44177
FBgn0265097 lncRNA:CR44202
FBgn0265098 lncRNA:CR44203
FBgn0265099 lncRNA:CR44204
FBgn0265148 lncRNA:CR44217
FBgn0265255 lncRNA:CR44269
FBgn0265367 lncRNA:CR44308
FBgn0265368 lncRNA:CR44309
FBgn0265369 lncRNA:CR44310
FBgn0265377 lncRNA:CR44318
FBgn0265422 lncRNA:CR44334
FBgn0265427 lncRNA:CR44339
FBgn0265457 lncRNA:CR44357
FBgn0265593 lncRNA:CR44420
FBgn0265594 lncRNA:CR44421
FBgn0265691 lncRNA:CR44498
FBgn0265692 lncRNA:CR44499
FBgn0265694 lncRNA:CR44501
FBgn0265719 lncRNA:CR44526
FBgn0265729 lncRNA:CR44536
FBgn0265745 lncRNA:CR44552
FBgn0265746 lncRNA:CR44553
FBgn0265794 lncRNA:CR44583
FBgn0265808 lncRNA:CR44597
FBgn0265886 lncRNA:CR44675
FBgn0265944 lncRNA:CR44731
FBgn0265945 lncRNA:CR44732
FBgn0265950 lncRNA:CR44737
FBgn0265958 lncRNA:CR44745
FBgn0265967 lncRNA:CR44754
FBgn0266002 lncRNA:CR44776
FBgn0266021 lncRNA:CR44786
FBgn0266039 lncRNA:CR44804
FBgn0266046 lncRNA:CR44811
FBgn0266087 lncRNA:CR44829
FBgn0266116 lncRNA:CR44842
FBgn0266217 lncRNA:CR44912
FBgn0266222 lncRNA:CR44917
FBgn0266223 lncRNA:CR44918
FBgn0266224 lncRNA:CR44919
FBgn0266225 lncRNA:CR44920
FBgn0266235 lncRNA:CR44930
FBgn0266237 lncRNA:CR44932
FBgn0266238 lncRNA:CR44933
FBgn0266251 lncRNA:CR44946
FBgn0266318 lncRNA:CR44983
FBgn0266329 lncRNA:CR44994
FBgn0266620 lncRNA:CR45127
FBgn0266640 lncRNA:CR45147
FBgn0266646 lncRNA:CR45153
FBgn0266693 lncRNA:CR45183
FBgn0266751 lncRNA:CR45224
FBgn0266804 lncRNA:CR45266
FBgn0266805 lncRNA:CR45267
FBgn0266815 lncRNA:CR45277
FBgn0266842 lncRNA:CR45304
FBgn0266873 lncRNA:CR45334
FBgn0266902 lncRNA:CR45362
FBgn0266927 lncRNA:CR45378
FBgn0266928 lncRNA:CR45379
FBgn0267005 lncRNA:CR45449
FBgn0267006 lncRNA:CR45450
FBgn0267007 lncRNA:CR45451
FBgn0267040 lncRNA:CR45484
FBgn0267097 lncRNA:CR45537
FBgn0267111 lncRNA:CR45551
FBgn0267119 lncRNA:CR45559
FBgn0267142 lncRNA:CR45582
FBgn0267153 lncRNA:CR45593
FBgn0267167 lncRNA:CR45607
FBgn0267168 lncRNA:CR45608
FBgn0267169 lncRNA:CR45609
FBgn0267173 lncRNA:CR45613
FBgn0267323 lncRNA:CR45759
FBgn0267526 lncRNA:CR45866
FBgn0267559 lncRNA:CR45899
FBgn0267561 lncRNA:CR45901
FBgn0267562 lncRNA:CR45902
FBgn0267563 lncRNA:CR45903
FBgn0267564 lncRNA:CR45904
FBgn0267565 lncRNA:CR45905
FBgn0267660 lncRNA:CR45998
FBgn0267677 lncRNA:CR46013
FBgn0267744 lncRNA:CR46075
FBgn0267767 lncRNA:CR46098
FBgn0267959 lncRNA:CR46239
FBgn0267991 lncRNA:CR46258
FBgn0267992 lncRNA:CR46259
FBgn0278597 lncRNA:CR46267
FBgn0287462 lncRNA:CR46451
FBgn0287465 lncRNA:CR46454
FBgn0287605 lncRNA:CR46474
FBgn0020546 lncRNA:iab4
FBgn0264857 lncRNA:iab8
FBgn0284410 lncRNA:TS2
FBgn0266568 lncRNA:yar
FBgn0083946 lobo
FBgn0266129 lov
FBgn0066101 LpR1
FBgn0004425 LysB
FBgn0004426 LysC
FBgn0004427 LysD
FBgn0004428 LysE
FBgn0004429 LysP
FBgn0004431 LysX
FBgn0002576 lz
FBgn0029003 mab-21
FBgn0000037 mAChR-A
FBgn0016034 mael
FBgn0002645 Map205
FBgn0004512 Mdr49
FBgn0261963 mid
FBgn0014343 mirr
FBgn0002781 mod(mdg4)
FBgn0037464 Mst84B
FBgn0002862 Mst87F
FBgn0264272 mwh
FBgn0036414 nan
FBgn0016684 NaPi-T
FBgn0037562 Nazo
FBgn0039669 ND-20L
FBgn0032585 Nepl8
FBgn0002938 ninaC
FBgn0016920 nompC
FBgn0044028 Notum
FBgn0039800 Npc2g
FBgn0039801 Npc2h
FBgn0035092 Nplp1
FBgn0034371 Ntan1
FBgn0085424 nub
FBgn0022774 Oat
FBgn0034716 Oatp58Dc
FBgn0284250 Oaz
FBgn0039685 Obp99b
FBgn0039682 Obp99c
FBgn0004102 oc
FBgn0002985 odd
FBgn0026058 OdsH
FBgn0037153 olf413
FBgn0003002 opa
FBgn0025360 Optix
FBgn0021767 org-1
FBgn0283678 Osi21
FBgn0015524 otp
FBgn0051481 pb
FBgn0264810 Pburs
FBgn0266377 Pde8
FBgn0004394 pdm2
FBgn0261588 pdm3
FBgn0003053 peb
FBgn0032407 Pex19
FBgn0035922 Pex7
FBgn0004861 ph-p
FBgn0003117 pnr
FBgn0003118 pnt
FBgn0037554 PolI
FBgn0003129 Poxm
FBgn0003130 Poxn
FBgn0023489 Pph13
FBgn0041194 Prat2
FBgn0003145 prd
FBgn0004595 pros
FBgn0005624 Psc
FBgn0267487 Ptp61F
FBgn0020912 Ptx1
FBgn0035802 Pura
FBgn0053207 pxb
FBgn0033649 pyr
FBgn0035255 RabX5
FBgn0261570 raskol
FBgn0033667 reb
FBgn0260933 rempA
FBgn0011701 repo
FBgn0004795 retn
FBgn0085419 Rgk2
FBgn0014019 Rh5
FBgn0004635 rho
FBgn0003254 rib
FBgn0267337 rn
FBgn0028567 robl62A
FBgn0002543 robo2
FBgn0011706 rpr
FBgn0036224 Rpt4R
FBgn0003295 ru
FBgn0020617 Rx
FBgn0043865 SA-2
FBgn0261648 salm
FBgn0000287 salr
FBgn0004170 sc
FBgn0003326 sca
FBgn0003339 Scr
FBgn0287186 scro
FBgn0002573 sens
FBgn0051632 sens-2
FBgn0004197 Ser
FBgn0263873 sick
FBgn0004666 sim
FBgn0051163 SKIP
FBgn0264978 Slh
FBgn0002941 slou
FBgn0003430 slp1
FBgn0004567 slp2
FBgn0003448 sna
FBgn0086667 snoRNA:Psi28S-3342
FBgn0083987 snRNA:U11
FBgn0003460 so
FBgn0004892 sob
FBgn0024289 Sodh-1
FBgn0003463 sog
FBgn0036302 sowah
FBgn0024288 Sox100B
FBgn0039938 Sox102F
FBgn0005613 Sox15
FBgn0042630 Sox21b
FBgn0029123 SoxN
FBgn0020378 Sp1
FBgn0003482 spn-D
FBgn0003499 sr
FBgn0003507 srp
FBgn0003513 ss
FBgn0032723 ssp3
FBgn0001978 stc
FBgn0020248 stet
FBgn0014388 sty
FBgn0265623 Su(z)2
FBgn0005561 sv
FBgn0003651 svp
FBgn0036899 tey
FBgn0261953 TfAP-2
FBgn0033652 ths
FBgn0004110 tin
FBgn0261649 tinc
FBgn0028979 tio
FBgn0039257 tnc
FBgn0036285 toe
FBgn0033636 tou
FBgn0019650 toy
FBgn0039668 Trc8
FBgn0262139 trh
FBgn0035187 Trh
FBgn0053537 tRNA:Asn-GTT-1-9
FBgn0052330 tRNA:Glu-CTC-3-1
FBgn0052328 tRNA:Glu-CTC-3-2
FBgn0052329 tRNA:Glu-CTC-3-3
FBgn0011855 tRNA:Glu-CTC-3-9
FBgn0025118 tRNA:Pro-CGG-3-1
FBgn0012017 tRNA:Tyr-GTA-1-2
FBgn0284408 trol
FBgn0003866 tsh
FBgn0031850 Tsp
FBgn0034046 tun
FBgn0003896 tup
FBgn0003900 twi
FBgn0003944 Ubx
FBgn0015663 Ugt36A1
FBgn0024184 unc-4
FBgn0004395 unk
FBgn0015561 unpg
FBgn0004956 upd1
FBgn0030904 upd2
FBgn0053542 upd3
FBgn0003963 ush
FBgn0003975 vg
FBgn0033911 VGAT
FBgn0003984 vn
FBgn0261930 vnd
FBgn0263511 Vsx1
FBgn0263512 Vsx2
FBgn0086680 vvl
FBgn0039070 wam
FBgn0261563 wb
FBgn0284084 wg
FBgn0031903 Wnt10
FBgn0004360 Wnt2
FBgn0010453 Wnt4
FBgn0031902 Wnt6
FBgn0001983 wor
FBgn0004034 y
FBgn0004606 zfh1
FBgn0004607 zfh2
