GENEID	log2BaseMean	log2Ratio	Stderr_log2Ratio	pvalue	padjust
FBgn0086758	10.5299345728219	2.08003721364229	0.19598890441234	2.59188878217004e-26	3.62726195435423e-24
FBgn0035092	7.45962639582631	3.24435760319788	0.308046050694046	6.14782134914126e-26	8.49046485270877e-24
FBgn0038966	7.61716321974374	3.35269413787384	0.318836145644759	7.33577445760552e-26	9.99951801389968e-24
FBgn0026403	6.69034324394037	4.26098269094223	0.407594915431005	1.40525685653156e-25	1.89097127771221e-23
FBgn0037831	11.2437863622917	0.585022109994999	0.0559878199177979	1.47928359110089e-25	1.96538741420189e-23
FBgn0052318	6.79514248989362	2.71480213473156	0.260577044147638	2.04310549289416e-25	2.68055440667713e-23
FBgn0025726	13.9656285407083	0.992543724446947	0.0958442302056151	3.93877909342174e-25	5.10387967463637e-23
FBgn0003975	11.8594188332522	-1.02607865027263	0.0991293530684915	4.14542634653829e-25	5.30614572356901e-23
FBgn0001258	9.94740158349778	1.91580896075014	0.185454878156261	5.13867706088936e-25	6.49825957001141e-23
FBgn0053158	10.8489985316791	0.689050851221961	0.0668448610916501	6.46951832360419e-25	8.083817181494e-23
FBgn0005640	11.7817362408455	1.04314590078519	0.101738393422416	1.14468136702272e-24	1.41347948567888e-22
FBgn0264894	9.19889918242437	2.32688074573473	0.228134711792692	1.99109271065249e-24	2.4300591966289e-22
FBgn0051477	8.18071067261023	3.01808786469316	0.298260030076219	4.5512472242826e-24	5.49079205357128e-22
FBgn0264922	13.0403195790346	-0.637638144573635	0.0631235757682938	5.44445291696828e-24	6.49374747914762e-22
FBgn0038455	8.60099601767678	2.26125819303094	0.227259495618688	2.51891105661357e-23	2.97061690451866e-21
FBgn0033204	6.84127545198005	4.37233102486191	0.439902209623459	2.80722881761422e-23	3.27385262996431e-21
FBgn0259219	8.02686278723342	4.99445265271187	0.502940291313895	3.06688650664727e-23	3.53736711799668e-21
FBgn0011774	9.49254297607748	1.14490800780777	0.115615176848408	4.04989468120697e-23	4.62040158412482e-21
FBgn0010114	6.33571435235458	4.34245635473537	0.439534807550817	5.10034750979594e-23	5.75626316804496e-21
FBgn0025360	8.04674330600644	-3.57310721299298	0.361778333636729	5.26343377532154e-23	5.8771277559335e-21
FBgn0000061	10.0870295664003	-1.53932516836603	0.155968032073438	5.64500421126813e-23	6.23683833699687e-21
