WD_NOnub_Rep1	WD_NOnub_Rep2	WD_NOnub_Rep3	WD_SUMOnub_Rep1	WD_SUMOnub_Rep2	WD_SUMOnub_Rep3
FBgn0024362	1895.18664832861	1935.23034174784	1828.76972291483	1792.44301255733	1953.63596370045	1827.21165726975
FBgn0024361	11.9822127396962	3.89970849722486	27.9201484414479	10.8156188360563	12.1532563838286	15.3203884063981
FBgn0024364	1414.89962101245	1521.861241042	1500.70797872782	1532.86816049197	1503.96547749879	1524.88932605016
FBgn0029573	8.98665955477212	7.79941699444972	4.98574079311569	3.93295230402046	4.0510854612762	4.08543690837283
FBgn0024987	6287.66613515556	6387.72251845432	5816.36520924876	6120.65702313184	5615.81722069413	5695.09905027172
FBgn0023169	2436.38325707155	2532.86066894755	2693.29717644109	2538.72071224521	2586.61806702485	2359.33981458531
FBgn0052813	85.8725246344891	106.267056549377	97.7205195450675	124.87123565265	169.132818008281	121.541748024092
FBgn0024985	1577.65801072666	1608.62975510525	1641.30586909368	1614.4769208004	1732.85180606089	1710.77670538112
FBgn0027794	1369.96632323859	1603.75511948372	1557.54542376934	1497.47158975579	1531.3103043624	1368.6213643049
FBgn0027795	173.742084725594	174.511955250812	203.41822435912	253.67542360932	207.618129890405	237.976699912717
FBgn0024986	573.1491760488	544.984262487174	595.297450698013	632.222082871289	637.033188785682	650.605827658373
FBgn0000826	49.9258864154007	50.6962104639232	44.8716671380412	53.0948561042762	95.2005083399907	74.5592235778041
FBgn0024365	2926.65546167079	2843.86242160123	2819.93499258623	2833.69213504674	2687.89520355676	2504.37282483254
FBgn0024360	541.196608742943	574.23207621636	555.411524353088	565.361893702941	603.611733730154	474.932040598341
FBgn0024366	895.670402292288	1013.92420927846	892.447601967708	820.020555388266	1163.67429875159	1075.49126612915
FBgn0025641	1841.26669099998	1469.21517632947	1573.49979430731	1340.15349759497	1895.90799587726	1676.05049165995
FBgn0028550	539.199573286327	758.493302710235	678.060747863734	1150.38854892598	1105.9463309284	1295.08349995419
FBgn0026876	1139.30872799944	1229.38310375014	1105.83730791306	1336.22054529095	1133.29115779202	1020.33786786611
FBgn0040366	157.765801072666	198.885133358468	180.483816710788	207.463234037079	211.669215351681	207.335923099921
FBgn0040368	0	0.974927124306215	0	2.94971422801535	4.0510854612762	3.06407768127962
FBgn0026872	116.826574212038	134.539943154258	135.612149572747	152.401901780793	159.005104355091	136.86213643049
FBgn0029580	2.99555318492404	6.8244898701435	6.98003711036196	10.8156188360563	9.11494228787145	12.2563107251185
FBgn0025383	0.998517728308013	4.87463562153107	2.99144447586941	12.7820949880665	13.1660277491476	18.3844660876777
FBgn0025381	1480.80179108078	1438.01750835167	1523.64238637615	1471.90739977966	1725.76240650366	1492.20583078318
FBgn0025394	3838.302147616	4064.47118123261	4064.37589454791	3618.31611969882	3765.48393625623	3855.63108227686
FBgn0000482	1206.20941579608	1171.86240341607	1196.57779034777	1103.19312127774	1227.47889476669	1082.6407807188
FBgn0001189	1856.2444569246	1982.02684371453	1922.50164982541	1834.72224982555	1996.17236104385	1898.70680316627
FBgn0029587	4.99258864154007	3.89970849722486	7.9771852689851	3.93295230402046	3.03831409595715	5.10679613546604
FBgn0024897	10.9836950113881	7.79941699444972	8.97433342760824	13.7653330640716	25.3192841329762	22.4699029960506
FBgn0025391	0	0	0	2.94971422801535	9.11494228787145	10.2135922709321
FBgn0023130	671.003913422985	726.32070760813	695.012266560327	634.188559023299	667.416329745254	752.741750367694
FBgn0023530	221.670935684379	233.982509833492	271.224299145493	292.021708573519	278.512125462739	293.13009817575
FBgn0025390	19.9703545661603	19.4985424861243	13.9600742207239	38.3462849641995	35.4469977861667	35.7475729482623
FBgn0025393	2.99555318492404	3.89970849722486	5.98288895173883	10.8156188360563	7.08939955723335	2.04271845418641
FBgn0003517	77191.4115045793	77710.4661513241	80253.475250466	75177.4000532751	82552.0067585211	74853.375035207
FBgn0044508	0.998517728308013	3.89970849722486	2.99144447586941	1.96647615201023	0	5.10679613546604
FBgn0025382	278.586446197936	415.318954954447	369.941966849184	443.440372278307	413.210717050172	418.757283108215
FBgn0052808	54.9184750569407	58.4956274583729	65.8117784691271	58.9942845603069	76.9706237642478	86.8155343029226
FBgn0027791	159.762836529282	193.03557061263	186.466705662527	186.815234440972	234.96295675402	150.139806382701
FBgn0027793	19.9703545661603	9.74927124306215	28.917296600071	74.7260937763888	69.8812242070144	84.7728158487362
FBgn0026873	775.848274895326	740.944614472723	716.949526050036	785.607222728087	710.965498453973	710.866022056872
FBgn0023513	1228.17680581886	1378.54695376899	1304.26979147906	1471.90739977966	1183.92972605797	1133.70874207346
FBgn0014411	2580.16980994791	2316.42684735157	2236.6033197917	2211.3024329355	1950.59764960449	1969.1805898357
FBgn0023514	1299.07156452873	1317.1265449377	1175.63767901668	1281.15921303467	1198.10852517244	1197.03301415324
FBgn0029594	552.180303754331	531.335282746887	461.679597442513	477.853704938486	467.900370777401	440.205826877172
FBgn0023519	758.87347351409	836.487472654732	855.553120098652	812.154650780225	743.374182144183	762.955342638626
FBgn0023509	2502.28542713988	2471.44026011625	2570.64795293045	2417.78242889658	2007.31284606236	2194.9009790233
FBgn0023510	1312.05229499673	1345.39943154258	1400.99316286551	1460.1085428676	1462.44185152071	1428.8815587034
FBgn0023508	1411.90406782753	1369.77260965023	1309.25553227218	1203.48340503026	1447.25028104092	1340.02330594629
FBgn0023522	1178.25091940346	1122.14112007645	1160.68045663733	1070.74626476957	1229.50443749733	1198.05437338033
FBgn0023521	445.338906825374	326.600586642582	344.016114724983	274.323423205427	299.780324134439	311.514564263428
FBgn0025627	57.9140282418648	49.7212833396169	47.8631116139106	53.0948561042762	52.6641109965906	50.0466021275671
FBgn0025630	1008.50290559109	1100.69272334172	1307.26123595493	1129.74054932988	1410.79051188944	1209.28932487836
FBgn0025629	772.852721710402	852.086306643632	767.804082139816	738.411795079842	738.310325317587	584.217477897314
FBgn0025628	3940.15095590342	3928.95631095404	4335.6001936934	4771.65438285282	5665.44301759477	4792.21749352133
FBgn0029596	3.99407091323205	1.94985424861243	0.997148158623138	3.93295230402046	3.03831409595715	6.12815536255924
FBgn0025626	2186.75382499455	2256.95629276889	2204.69457871576	2193.60414756741	2234.17363189382	2197.96505670458
FBgn0025625	8.98665955477212	9.74927124306215	2.99144447586941	17.6982853680921	17.2171132104238	18.3844660876777
FBgn0025631	210.687240672991	208.63440460153	187.46385382115	248.759233229294	357.508291957625	365.646603299368
FBgn0026878	8.98665955477212	0.974927124306215	21.937259489709	4.91619038002558	0	5.10679613546604
FBgn0000667	5430.93792426728	5510.28810657873	5447.4203905582	5584.79227170906	4813.70229936144	5108.83885392022
FBgn0003964	2066.93169759759	2086.3440460153	2206.688875033	2115.92833956301	2017.44055971555	1933.43301688744
FBgn0023545	894.67188456398	915.456569723535	944.299306216112	976.355409473079	1112.02295912032	1010.12427559518
FBgn0023520	509.244041437087	503.062396142007	486.608301408091	420.825896530189	495.245197641015	447.355341466825
FBgn0023512	1713.45642177655	1745.11955250812	1735.03779600426	1693.13596688081	1515.1059625173	1431.94563638468
FBgn0023511	1713.45642177655	1740.24491688659	1813.81250053549	1855.37024942165	1707.53252192792	1772.05825900671
FBgn0052801	55.9169927852487	52.6460647125356	62.8203339932577	115.038854892598	123.558106568924	123.584466478278
FBgn0023518	3182.27600011764	3473.66534390304	3275.63170107701	3297.78050692116	2920.83261758014	2812.82331141469
FBgn0026088	500.257381882315	591.780764453872	656.123488374025	571.261322158972	584.369077789092	607.708740120458
FBgn0026089	112.832503298806	100.41749380354	108.689149289922	124.87123565265	96.2132797053097	101.114563482228
FBgn0023517	1146.2983520976	1169.91254916746	1027.06260338183	1216.26550001833	952.005083399907	841.600003124803
FBgn0023516	539.199573286327	557.658315103155	591.308858063521	587.976369451059	598.547876903559	534.170875769747
FBgn0023515	1369.96632323859	1518.93645966908	1457.83060790703	1663.63882460065	1454.33968059816	1524.88932605016
FBgn0028969	3449.87875130419	3279.65484616611	3156.97107020085	3311.54583998523	2897.5388761778	2602.42331063349
FBgn0026090	474.295920946306	498.187760520476	507.548412739177	553.56303679088	678.556814763763	648.563109204187
